,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,FA Delta With V7,MARE Delta With V7,Clip Delta
195,split squat arms straight out,MVP,939,20,4.52%,30.00%,85.00%,1,0.7,99.19%,395,77.71%,0.51%,0.36%,0
196,split squat hands on hips,MVP,942,16,6.55%,68.75%,93.75%,1,-0.6875,96.85%,194,68.51%,-1.26%,3.88%,0
197,split squat runners arms,MVP,945,19,4.54%,36.84%,78.95%,1,0.6315789474,99.53%,349,64.17%,0.35%,0.64%,0
198,split squat with lateral raise,List A,944,12,17.37%,33.33%,83.33%,0,-0.08333333333,99.78%,120,67.13%,0.35%,4.42%,0
199,squat jumps arms by side,MVP,949,20,4.32%,60.00%,90.00%,1,0,93.50%,235,69.50%,-1.32%,-2.25%,0
200,squat jumps arms by side dumbbell,MVP,955,8,4.80%,62.50%,87.50%,1,-0.25,94.48%,82,80.02%,-1.40%,0.03%,0
201,squat jumps arms straight out,MVP,951,18,11.89%,44.44%,77.78%,0,-1.333333333,93.24%,199,55.40%,3.31%,-2.12%,0
202,squat jumps arms swinging,MVP,952,7,4.31%,57.14%,100.00%,1,-0.1428571429,95.30%,73,84.50%,-1.22%,-1.59%,0
203,squat jumps hands centered,MVP,948,20,3.58%,75.00%,95.00%,1,0.3,95.11%,234,77.43%,-1.24%,-3.00%,0
204,squat jumps hands on hips,MVP,950,20,7.90%,65.00%,85.00%,1,-0.8,87.88%,239,70.74%,-4.23%,0.72%,0
205,squat jumps single dumbbell hanging center,MVP,947,9,12.35%,66.67%,88.89%,0,-1,82.79%,91,84.09%,-1.65%,0.00%,0
206,squat jumps weights racked,MVP,956,8,9.32%,75.00%,75.00%,1,-0.5,92.23%,84,83.26%,-4.63%,3.18%,0
207,squat thrust jump back,List A,1585,10,5.33%,70.00%,90.00%,1,0.6,92.64%,102,36.42%,-4.59%,-0.33%,0
208,squat thrust step back,List A,1586,7,13.53%,71.43%,71.43%,0,1.571428571,90.37%,77,33.23%,-5.98%,9.63%,0
209,standing good morning hands on head,List A,1073,19,6.16%,52.63%,73.68%,1,1.105263158,99.36%,276,60.09%,-0.04%,0.31%,0
210,supinated row alternating with resting arm down,List A,1647,5,29.51%,20.00%,40.00%,0,-0.8,99.35%,56,50.91%,-0.54%,-35.49%,0
211,supinated row alternating with resting arm up,List A,1648,5,11.80%,20.00%,60.00%,0,0,99.90%,68,56.29%,0.00%,7.45%,0
212,supinated row both arms,List A,1649,8,5.68%,87.50%,87.50%,1,0.625,99.95%,87,80.05%,-0.05%,4.55%,0
213,supinated row on knees same time,List A,1650,5,43.73%,0.00%,40.00%,0,0.2,96.55%,54,79.66%,-3.45%,13.73%,0
214,supinated row single arm,List A,1651,10,15.57%,50.00%,60.00%,0,1.4,99.89%,90,51.36%,0.00%,12.46%,0
215,tall kneeling good morning hands on hips,List A,1074,17,0.00%,100.00%,100.00%,1,0,95.83%,166,91.70%,-2.39%,0.00%,0
216,tall kneeling good morning with dumbbell,List A,1075,17,2.94%,94.12%,94.12%,1,-0.2941176471,99.45%,169,83.58%,0.26%,-0.59%,0
217,tall kneeling good mornings hands behind head,List A,1484,3,9.52%,66.67%,66.67%,1,-1.333333333,92.92%,40,23.47%,-7.08%,1.98%,0
218,tricep kickback kneeling alternating with resting arm down,MVP,1261,15,8.68%,60.00%,80.00%,1,-0.8,98.97%,166,64.52%,-0.08%,0.87%,0
219,tricep kickback kneeling alternating with resting arm up,List A,1262,13,23.85%,15.38%,38.46%,0,-2.384615385,99.95%,130,41.55%,0.36%,2.03%,2
220,tricep kickback kneeling both arms,MVP,1260,17,1.71%,88.24%,94.12%,1,0.1764705882,99.42%,170,67.42%,1.77%,-0.53%,0
221,tricep kickback standing alternating with resting arm down,MVP,1270,12,8.52%,50.00%,75.00%,1,-0.5,99.93%,118,82.54%,-0.07%,-1.57%,0
222,tricep kickback standing alternating with resting arm up,List A,1269,10,19.07%,20.00%,50.00%,0,-1.3,99.84%,99,73.32%,-0.16%,3.82%,0
223,tricep kickback standing both arms,MVP,1267,16,6.51%,75.00%,87.50%,1,-0.3125,99.60%,181,72.35%,-0.30%,3.86%,1
224,tricep kickback standing single arm with resting arm down,MVP,1268,20,9.25%,70.00%,80.00%,1,0.45,99.63%,393,79.35%,-0.21%,1.79%,0
225,tuck jump consecutive,List A,1076,17,66.26%,0.00%,11.76%,0,-13.11764706,56.01%,360,2.14%,-35.84%,16.74%,0
226,tuck jump with pause,List A,1077,17,47.62%,5.88%,35.29%,0,-5.588235294,46.34%,192,7.19%,-42.50%,30.08%,0
227,tuck up arms overhead,MVP,1124,18,14.81%,61.11%,72.22%,0,-0.7777777778,82.10%,160,83.18%,0.04%,-0.35%,0
228,tuck up assisted,MVP,1730,11,4.82%,63.64%,90.91%,1,0,97.31%,121,79.77%,-0.57%,2.48%,0
229,tuck up both legs arms by side,MVP,1123,5,1.82%,80.00%,100.00%,1,-0.2,98.77%,51,83.34%,-0.49%,1.82%,0
230,tuck up hands grab feet,MVP,1126,16,6.08%,75.00%,87.50%,1,0.125,94.83%,149,89.88%,0.57%,3.79%,0
231,tuck up hands grab knees,MVP,1125,19,5.41%,73.68%,89.47%,1,-0.1052631579,95.19%,174,76.83%,-1.33%,-0.72%,0
232,turkish getup alternating,List A,1127,10,1.11%,90.00%,100.00%,1,-0.1,97.66%,52,67.23%,-1.45%,0.00%,0
233,turkish getup same side,List A,1128,12,5.83%,83.33%,91.67%,1,0.4166666667,93.84%,76,67.72%,-1.44%,-0.83%,0
234,v up arms by side,MVP,1129,14,4.16%,64.29%,92.86%,1,-0.1428571429,95.71%,138,78.42%,-0.95%,2.08%,0
235,v up arms overhead,MVP,1130,20,4.78%,70.00%,95.00%,1,-0.05,94.66%,182,75.60%,-1.06%,-0.10%,0
236,v up assisted,MVP,1131,15,7.48%,40.00%,93.33%,1,-0.1333333333,97.62%,153,71.61%,-1.61%,2.53%,0
237,wide grip bent over row alternating with resting arm down,MVP,1721,6,10.52%,33.33%,50.00%,0,0.3333333333,100.00%,76,54.01%,3.91%,-0.40%,0
238,wide grip bent over row alternating with resting arm up,List A,1718,8,25.02%,0.00%,12.50%,0,-1.5,99.90%,118,43.30%,-0.04%,16.36%,0
239,wide grip bent over row both arms,MVP,1719,6,0.00%,100.00%,100.00%,1,0,99.94%,67,96.25%,-0.06%,0.00%,0
240,wide grip chest press hook lying both arms,MVP,1523,4,4.01%,50.00%,100.00%,1,0.5,99.55%,51,83.52%,-0.36%,1.92%,0
241,wide grip chest press table top both arms,MVP,1527,4,4.01%,50.00%,100.00%,1,0.5,99.28%,50,35.68%,-0.72%,-8.01%,0
242,wood chop kneeling alternating,MVP,1136,10,5.89%,20.00%,100.00%,1,0.6,100.00%,144,97.13%,0.96%,4.89%,0
243,wood chop kneeling single side,MVP,1133,5,3.05%,40.00%,100.00%,1,0.6,99.75%,100,96.21%,-0.19%,2.00%,0
244,wood chop one knee,MVP,1140,12,9.82%,25.00%,58.33%,1,0.4166666667,98.75%,243,94.71%,1.85%,3.43%,0
245,wood chop sitting alternating,MVP,1135,11,13.08%,27.27%,81.82%,0,1,100.00%,144,95.10%,0.04%,4.52%,0
246,wood chop sitting single side,MVP,1134,5,3.11%,40.00%,100.00%,1,0.6,100.00%,99,95.92%,0.00%,0.89%,0
247,wood chop standing alternating,MVP,1137,10,8.03%,30.00%,80.00%,1,0.6,99.97%,134,96.90%,0.04%,5.10%,0
248,wood chop standing single side,MVP,1315,9,3.61%,44.44%,100.00%,1,0.3333333333,98.16%,154,96.32%,-1.36%,2.41%,0
249,zottman curl balancing alternating with resting arm down,MVP,1291,8,0.00%,100.00%,100.00%,1,0,98.91%,82,98.03%,1.41%,0.00%,0
250,zottman curl kneeling both arms,MVP,1279,13,5.43%,61.54%,84.62%,1,0.3846153846,97.92%,131,87.67%,-1.28%,3.80%,0
251,zottman curl standing alternating with resting arm down,MVP,1287,8,0.00%,100.00%,100.00%,1,0,99.66%,77,97.42%,1.15%,0.00%,0
252,zottman curl standing alternating with resting arm up,List A,1281,8,8.75%,25.00%,87.50%,1,0.875,100.00%,78,93.72%,0.04%,-5.63%,0
253,zottman curl standing both arms,MVP,1282,12,5.83%,83.33%,83.33%,1,-0.5833333333,97.27%,110,98.65%,0.04%,0.00%,0
,,,,,,,,,,,,,,,
,Avg,,,,8.61%,61.30%,82.60%,,,95.70%,,76.00%,-1.49%,2.14%,
