,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,MARE delta w/ hydra_v6_FAstridefix,n_sets delta w/ hydra_v6_FAstridefix,is_FA delta w/ hydra_v6_FAstridefix,signal_score delta w/ hydra_v6_FAstridefix
176,reverse lunge with twist dumbbell,List A,889,7,10.16%,42.86%,85.71%,0,-0.1428571,96.65%,69,41.46%,7.30%,0.00,-1.65%,6.66%
177,roll up fingertips to ceiling,List A,1093,13,17.01%,46.15%,61.54%,0,1.23076923,97.17%,118,90.77%,-3.06%,-4.00,1.85%,2.18%
178,roll up fingertips to toes,List A,1094,16,6.06%,68.75%,81.25%,1,0.25,95.77%,141,86.39%,-0.41%,-3.00,1.59%,-3.28%
179,shoulder tap on knees,List A,1096,16,16.74%,18.75%,56.25%,0,-2.125,97.63%,198,37.19%,-0.21%,-1.00,-1.25%,2.04%
180,shoulder tap on toes,List A,1098,13,20.16%,23.08%,38.46%,0,-3.3076923,92.81%,184,44.82%,1.12%,-1.00,-2.61%,4.77%
181,side bend kneeling alternating,List A,1106,13,1.41%,84.62%,100.00%,1,0,99.21%,142,86.00%,0.00%,0.00,-0.13%,2.93%
182,side bend kneeling single side,List A,1105,11,2.25%,63.64%,90.91%,1,0.09090909,93.26%,205,92.56%,-7.75%,-2.00,-3.34%,6.91%
183,single leg deadlift alternating arms by side,MVP,904,18,6.73%,83.33%,94.44%,1,0.55555556,95.09%,190,95.29%,-0.28%,0.00,-0.45%,-0.04%
184,single leg deadlift alternating arms straight out,MVP,905,18,2.53%,77.78%,94.44%,1,0.05555556,95.40%,197,95.42%,-1.05%,1.00,-0.87%,1.58%
185,single leg deadlift both hands holding one dumbbell,MVP,915,19,0.25%,94.74%,100.00%,1,-0.0526316,98.06%,294,95.87%,-1.12%,0.00,0.27%,-0.04%
186,single leg deadlift opposite side hand dumbbell,MVP,908,11,7.22%,54.55%,90.91%,1,-0.5454545,97.70%,117,92.23%,0.00%,0.00,-0.33%,2.50%
187,single leg deadlift same leg arms by side,MVP,910,20,1.83%,80.00%,100.00%,1,0.2,95.97%,259,95.87%,0.22%,0.00,0.11%,0.04%
188,single leg deadlift same side hand dumbbell,MVP,909,13,0.00%,100.00%,100.00%,1,0,95.34%,187,96.23%,0.00%,0.00,-0.95%,1.76%
189,snatch alternating,MVP,1107,19,5.77%,57.89%,89.47%,1,0.57894737,95.29%,195,82.07%,-5.81%,-1.00,2.48%,-3.98%
190,snatch both arms,MVP,1108,10,7.58%,60.00%,80.00%,1,0.7,98.94%,98,96.77%,4.33%,0.00,0.09%,-0.13%
191,snatch hang,MVP,1110,19,11.34%,52.63%,68.42%,0,0.47368421,95.61%,189,87.66%,5.12%,-1.00,0.13%,2.60%
192,snatch power,MVP,1112,18,20.67%,5.56%,50.00%,0,-1.2222222,93.01%,323,91.24%,-1.14%,-1.00,-0.71%,0.00%
193,snatch single arm,MVP,1109,8,23.11%,0.00%,37.50%,0,1.25,98.30%,88,94.12%,-6.83%,0.00,-0.01%,-0.90%
194,split squat arms by side,MVP,937,11,11.11%,90.91%,90.91%,0,1,99.68%,101,77.72%,8.08%,0.00,0.28%,-2.02%
195,split squat arms out laterally,MVP,938,10,0.00%,100.00%,100.00%,1,0,98.75%,97,82.66%,0.00%,0.00,-0.54%,-2.20%
196,split squat arms overhead,MVP,940,9,9.34%,66.67%,77.78%,1,-0.6666667,99.78%,91,72.10%,3.28%,-2.00,0.14%,0.88%
197,split squat arms straight out,MVP,939,18,5.20%,22.22%,83.33%,1,1,99.02%,355,96.81%,0.85%,-2.00,0.56%,0.30%
198,split squat hands on hips,MVP,942,16,1.96%,81.25%,93.75%,1,-0.25,98.08%,194,81.25%,-1.60%,0.00,-0.67%,1.75%
199,split squat runners arms,MVP,945,18,4.09%,55.56%,83.33%,1,0.11111111,99.10%,338,94.94%,0.33%,-2.00,0.18%,1.35%
200,split squat with lateral raise,List A,944,12,12.42%,50.00%,91.67%,0,-0.6666667,99.43%,120,96.39%,0.69%,1.00,0.58%,8.51%
201,squat jumps arms by side,MVP,949,17,5.59%,47.06%,88.24%,1,-0.0588235,94.78%,206,88.18%,-0.85%,-3.00,1.52%,-0.69%
202,squat jumps arms by side dumbbell,MVP,955,7,8.31%,57.14%,85.71%,1,-0.8571429,95.25%,71,76.68%,4.79%,-1.00,1.77%,-4.82%
203,squat jumps arms straight out,MVP,951,17,15.04%,47.06%,82.35%,0,-2,89.00%,189,86.77%,0.14%,-1.00,0.48%,0.46%
204,squat jumps arms swinging,MVP,952,6,7.22%,66.67%,83.33%,1,0.33333333,96.84%,62,94.65%,-0.27%,-1.00,0.24%,-1.18%
205,squat jumps hands centered,MVP,948,20,6.58%,65.00%,95.00%,1,0.6,96.15%,234,94.79%,-0.45%,0.00,0.04%,0.82%
206,squat jumps hands on hips,MVP,950,20,8.94%,60.00%,85.00%,1,-0.5,91.72%,239,74.50%,-4.88%,0.00,-0.04%,-1.61%
207,squat jumps single dumbbell hanging center,MVP,947,8,14.93%,50.00%,87.50%,0,-1,84.25%,81,81.22%,6.10%,-1.00,-6.36%,-5.07%
208,squat jumps weights racked,MVP,956,7,10.78%,71.43%,71.43%,0,-0.2857143,97.36%,74,83.97%,-0.93%,-1.00,1.30%,4.45%
209,squat thrust jump back,List A,1585,10,31.83%,30.00%,30.00%,0,3.3,97.15%,102,60.68%,-7.67%,0.00,4.56%,11.65%
210,squat thrust step back,List A,1586,7,39.68%,0.00%,14.29%,0,4.42857143,96.64%,77,60.13%,29.61%,0.00,12.77%,-12.51%
211,standing good morning hands on head,List A,1073,17,3.88%,52.94%,76.47%,1,0.52941176,99.78%,244,83.10%,-2.55%,-2.00,0.41%,2.51%
212,supinated row alternating with resting arm down,List A,1647,5,68.08%,20.00%,60.00%,0,0.6,100.00%,56,83.54%,1.54%,0.00,0.74%,0.44%
213,supinated row alternating with resting arm up,List A,1648,5,2.79%,60.00%,100.00%,1,0,99.90%,68,90.94%,1.54%,0.00,0.99%,2.61%
214,supinated row both arms,List A,1649,8,0.00%,100.00%,100.00%,1,0,100.00%,87,83.68%,0.00%,0.00,0.05%,0.41%
215,supinated row on knees same time,List A,1650,5,33.25%,40.00%,60.00%,0,2.6,100.00%,54,81.88%,1.25%,0.00,0.62%,-3.35%
216,supinated row single arm,List A,1651,10,9.27%,50.00%,90.00%,1,0,99.89%,90,51.48%,3.36%,0.00,1.71%,4.26%
217,tall kneeling good morning hands on hips,List A,1074,16,0.00%,100.00%,100.00%,1,0,98.43%,156,90.18%,0.00%,0.00,-0.22%,-3.00%
218,tall kneeling good morning with dumbbell,List A,1075,15,3.33%,93.33%,93.33%,1,-0.3333333,99.31%,148,85.78%,0.98%,-2.00,-0.12%,0.46%
219,tall kneeling good mornings hands behind head,List A,1484,3,0.00%,100.00%,100.00%,1,0,100.00%,40,0.63%,0.00%,0.00,0.00%,-0.61%
220,tricep kickback kneeling alternating with resting arm down,MVP,1261,15,8.09%,46.67%,73.33%,1,-0.7333333,99.27%,166,69.09%,-0.54%,0.00,0.80%,-4.88%
221,tricep kickback kneeling alternating with resting arm up,List A,1262,13,18.46%,30.77%,46.15%,0,-1.5384615,99.70%,130,50.16%,8.46%,0.00,-0.01%,-0.02%
222,tricep kickback kneeling both arms,MVP,1260,17,2.89%,82.35%,94.12%,1,0.17647059,97.77%,170,71.60%,1.28%,0.00,0.35%,1.80%
223,tricep kickback standing alternating with resting arm down,MVP,1270,12,13.52%,50.00%,58.33%,0,-1.3333333,100.00%,118,83.55%,1.00%,0.00,0.00%,5.42%
224,tricep kickback standing alternating with resting arm up,List A,1269,10,18.25%,20.00%,50.00%,0,-1.4,100.00%,99,78.20%,4.00%,0.00,0.00%,5.80%
225,tricep kickback standing both arms,MVP,1267,18,7.37%,72.22%,77.78%,1,-0.2222222,99.67%,207,76.28%,2.14%,0.00,0.13%,4.06%
226,tricep kickback standing single arm with resting arm down,MVP,1268,20,7.96%,65.00%,85.00%,1,0.1,99.80%,393,82.06%,-1.43%,0.00,0.29%,-0.16%
227,tuck jump consecutive,List A,1076,17,33.41%,11.76%,35.29%,0,-6.1176471,91.62%,360,39.50%,3.24%,0.00,-3.85%,8.13%
228,tuck jump with pause,List A,1077,15,16.27%,33.33%,66.67%,0,-2.0666667,87.19%,175,51.27%,0.93%,-2.00,-3.72%,8.38%
229,tuck up arms overhead,MVP,1124,18,13.85%,61.11%,77.78%,0,-0.7222222,82.14%,160,85.49%,-0.20%,0.00,-1.55%,-1.33%
230,tuck up assisted,MVP,1730,11,2.34%,72.73%,100.00%,1,-0.2727273,97.93%,121,81.19%,0.00%,0.00,0.33%,-0.28%
231,tuck up both legs arms by side,MVP,1123,5,2.00%,80.00%,100.00%,1,0.2,99.26%,51,82.19%,2.00%,0.00,0.61%,-3.44%
232,tuck up hands grab feet,MVP,1126,14,2.14%,78.57%,100.00%,1,0.21428571,94.33%,127,92.36%,-0.88%,-2.00,0.22%,-0.13%
233,tuck up hands grab knees,MVP,1125,17,3.79%,64.71%,100.00%,1,0.11764706,96.81%,160,86.53%,-1.69%,-2.00,-0.17%,2.57%
234,turkish getup alternating,List A,1127,10,135.61%,10.00%,20.00%,0,6.9,99.05%,52,77.01%,,,,
235,turkish getup same side,List A,1128,12,177.52%,0.00%,16.67%,0,11.9166667,95.24%,76,82.85%,,,,
236,v up arms by side,MVP,1129,12,0.83%,91.67%,100.00%,1,-0.0833333,97.31%,117,85.92%,-0.60%,-2.00,2.09%,3.55%
237,v up arms overhead,MVP,1130,16,7.90%,62.50%,81.25%,1,0.25,95.65%,144,79.14%,4.52%,-4.00,0.11%,0.28%
238,v up assisted,MVP,1131,15,5.14%,66.67%,80.00%,1,0.13333333,99.19%,153,79.64%,-0.15%,0.00,0.32%,0.51%
239,wide grip bent over row alternating with resting arm down,MVP,1721,6,10.12%,50.00%,66.67%,0,-0.6666667,96.06%,76,70.46%,-1.79%,0.00,0.21%,5.29%
240,wide grip bent over row alternating with resting arm up,List A,1718,8,10.74%,37.50%,62.50%,0,-0.25,99.94%,118,48.70%,2.16%,0.00,0.31%,-7.05%
241,wide grip bent over row both arms,MVP,1719,6,0.00%,100.00%,100.00%,1,0,100.00%,67,95.88%,0.00%,0.00,0.00%,-0.68%
242,wide grip chest press hook lying both arms,MVP,1523,4,2.08%,75.00%,100.00%,1,0.25,100.00%,51,90.92%,0.00%,0.00,1.11%,3.08%
243,wide grip chest press table top both arms,MVP,1527,4,10.26%,25.00%,75.00%,0,0.75,99.90%,50,51.29%,8.17%,0.00,-0.10%,8.50%
244,wood chop kneeling alternating,MVP,1136,10,2.00%,80.00%,100.00%,1,0.2,99.29%,144,98.90%,-4.39%,0.00,0.55%,-0.05%
245,wood chop kneeling single side,MVP,1133,5,1.05%,80.00%,100.00%,1,0.2,99.68%,100,98.73%,-2.00%,0.00,0.16%,0.08%
246,wood chop one knee,MVP,1140,11,8.20%,36.36%,63.64%,1,-0.0909091,96.63%,223,98.20%,0.95%,-1.00,-0.27%,0.23%
247,wood chop sitting alternating,MVP,1135,10,9.42%,60.00%,80.00%,1,0.4,99.96%,131,98.57%,-5.62%,-1.00,0.11%,0.05%
248,wood chop sitting single side,MVP,1134,4,2.78%,75.00%,75.00%,1,0.5,100.00%,79,98.28%,-1.33%,-1.00,0.85%,-0.15%
249,wood chop standing alternating,MVP,1137,10,2.94%,70.00%,90.00%,1,0,99.94%,134,98.85%,-4.38%,0.00,0.16%,0.00%
250,wood chop standing single side,MVP,1315,9,1.20%,77.78%,100.00%,1,0,99.54%,154,99.04%,-2.04%,0.00,0.60%,0.23%
251,zottman curl balancing alternating with resting arm down,MVP,1291,8,0.00%,100.00%,100.00%,1,0,97.46%,82,98.48%,-1.25%,0.00,-0.22%,0.89%
252,zottman curl kneeling both arms,MVP,1279,13,2.91%,76.92%,92.31%,1,0,98.98%,131,93.59%,0.50%,0.00,0.43%,-3.60%
253,zottman curl standing alternating with resting arm down,MVP,1287,8,0.00%,100.00%,100.00%,1,0,98.41%,77,97.63%,0.00%,0.00,-0.14%,0.41%
254,zottman curl standing alternating with resting arm up,List A,1281,8,18.13%,0.00%,75.00%,0,1.75,99.89%,78,98.39%,2.50%,0.00,-0.11%,0.20%
255,zottman curl standing both arms,MVP,1282,12,5.83%,83.33%,83.33%,1,-0.5833333,97.28%,110,99.36%,0.00%,0.00,-0.36%,0.02%
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
All,Average,,,11.69,8.34%,64.68%,85.50%,0.75,0.00,97.17%,,85.19%,-0.07%,,1.04%,1.39%
,Sum,256,,2993,,,,,,,,,,-113.00,,
,,,,,,,,,,,,,,,,
MVP,Average,,,11.55,5.04%,70.16%,90.41%,0.86,-0.09,96.97%,,88.34%,-0.01%,,0.82%,0.67%
,Sum,182,,2102,,,,,,,,,,-58.00,,
,,,,,,,,,,,,,,,,
List A,Average,,,12.04,16.45%,51.20%,73.44%,0.49,0.23,97.64%,,77.44%,-0.24%,,1.60%,3.21%
,Sum,74,,891,,,,,,,,,,-55.00,,
