,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,MARE delta w/ hydra_v6c_v9dataset,n_sets delta w/ hydra_v6c_v9dataset,is_FA delta w/ hydra_v6c_v9dataset,signal_score delta w/ hydra_v6c_v9dataset
176,roll up fingertips to ceiling,List A,1093,17,2.35%,88.24%,94.12%,1,0.11764706,95.98%,157,90.68%,-14.66%,4.00,-1.19%,-0.09%
177,roll up fingertips to toes,List A,1094,19,4.83%,73.68%,94.74%,1,0.26315789,95.74%,169,86.46%,-1.23%,3.00,-0.04%,0.08%
178,shoulder tap on knees,List A,1096,16,12.91%,37.50%,75.00%,0,-1.75,97.93%,198,32.66%,-3.84%,0.00,0.30%,-4.53%
179,shoulder tap on toes,List A,1098,13,20.86%,30.77%,61.54%,0,-1.9230769,92.63%,184,42.50%,0.70%,0.00,-0.18%,-2.32%
180,side bend kneeling alternating,List A,1106,13,1.41%,84.62%,100.00%,1,0,99.31%,142,84.29%,0.00%,0.00,0.10%,-1.71%
181,side bend kneeling single side,List A,1105,13,9.60%,38.46%,69.23%,1,-0.6923077,94.03%,243,91.83%,7.34%,2.00,0.77%,-0.72%
182,single leg deadlift alternating arms by side,MVP,904,18,6.73%,83.33%,94.44%,1,0.55555556,95.14%,190,95.10%,0.00%,0.00,0.04%,-0.19%
183,single leg deadlift alternating arms straight out,MVP,905,18,2.53%,77.78%,94.44%,1,0.05555556,95.28%,197,95.01%,0.00%,0.00,-0.12%,-0.41%
184,single leg deadlift both hands holding one dumbbell,MVP,915,19,0.53%,89.47%,100.00%,1,0,98.05%,294,95.24%,0.28%,0.00,0.00%,-0.63%
185,single leg deadlift opposite side hand dumbbell,MVP,908,11,7.22%,54.55%,90.91%,1,-0.5454545,97.74%,117,88.80%,0.00%,0.00,0.04%,-3.43%
186,single leg deadlift same leg arms by side,MVP,910,20,1.33%,85.00%,100.00%,1,0.15,95.95%,259,95.74%,-0.50%,0.00,-0.02%,-0.13%
187,single leg deadlift same side hand dumbbell,MVP,909,13,0.38%,92.31%,100.00%,1,0.07692308,95.32%,187,94.32%,0.38%,0.00,-0.03%,-1.90%
188,snatch alternating,MVP,1107,20,7.68%,50.00%,85.00%,1,0.7,95.30%,205,82.40%,1.90%,1.00,0.01%,0.33%
189,snatch both arms,MVP,1108,10,1.25%,90.00%,100.00%,1,0.1,98.98%,98,97.45%,-6.33%,0.00,0.05%,0.69%
190,snatch hang,MVP,1110,19,2.97%,78.95%,89.47%,1,0.10526316,95.47%,189,86.07%,-8.37%,0.00,-0.13%,-1.59%
191,snatch power,MVP,1112,19,20.64%,15.79%,42.11%,0,-1.2631579,93.42%,342,89.39%,-0.03%,1.00,0.40%,-1.85%
192,snatch single arm,MVP,1109,8,18.05%,25.00%,50.00%,0,0.5,98.53%,88,92.69%,-5.07%,0.00,0.23%,-1.43%
193,split squat arms by side,MVP,937,11,2.02%,90.91%,90.91%,1,0.18181818,99.65%,101,71.43%,-9.09%,0.00,-0.02%,-6.29%
194,split squat arms out laterally,MVP,938,10,1.00%,90.00%,100.00%,1,0.1,98.94%,97,75.73%,1.00%,0.00,0.19%,-6.92%
195,split squat arms overhead,MVP,940,11,6.36%,72.73%,72.73%,1,-0.6363636,99.50%,109,69.09%,-2.98%,2.00,-0.28%,-3.02%
196,split squat arms straight out,MVP,939,20,4.16%,35.00%,90.00%,1,0.8,98.69%,395,95.56%,-1.04%,2.00,-0.33%,-1.24%
197,split squat hands on hips,MVP,942,16,2.67%,81.25%,93.75%,1,-0.25,98.11%,194,73.56%,0.71%,0.00,0.03%,-7.69%
198,split squat runners arms,MVP,945,19,3.90%,47.37%,84.21%,1,0.42105263,99.17%,349,90.86%,-0.19%,1.00,0.07%,-4.08%
199,split squat with lateral raise,List A,944,12,12.95%,66.67%,75.00%,0,-0.3333333,99.43%,120,89.88%,0.52%,0.00,0.00%,-6.51%
200,squat jumps arms by side,MVP,949,20,6.57%,50.00%,85.00%,1,0.2,94.81%,235,86.33%,0.98%,3.00,0.03%,-1.85%
201,squat jumps arms by side dumbbell,MVP,955,8,4.77%,62.50%,87.50%,1,-0.5,95.88%,82,74.56%,-3.54%,1.00,0.62%,-2.12%
202,squat jumps arms straight out,MVP,951,18,14.02%,50.00%,83.33%,0,-2,89.93%,199,85.58%,-1.02%,1.00,0.92%,-1.19%
203,squat jumps arms swinging,MVP,952,7,5.90%,57.14%,85.71%,1,0.28571429,96.52%,73,93.46%,-1.32%,1.00,-0.32%,-1.19%
204,squat jumps hands centered,MVP,948,20,6.58%,60.00%,95.00%,1,0.6,96.35%,234,93.24%,0.00%,0.00,0.21%,-1.55%
205,squat jumps hands on hips,MVP,950,20,7.18%,60.00%,90.00%,1,-0.25,92.11%,239,73.17%,-1.76%,0.00,0.39%,-1.33%
206,squat jumps single dumbbell hanging center,MVP,947,9,12.35%,66.67%,88.89%,0,-0.7777778,84.44%,91,85.87%,-2.58%,1.00,0.19%,4.65%
207,squat jumps weights racked,MVP,956,8,6.14%,75.00%,87.50%,1,0.375,96.86%,84,80.56%,-4.64%,1.00,-0.50%,-3.41%
208,squat thrust jump back,List A,1585,10,5.67%,70.00%,70.00%,1,0.6,97.23%,102,21.92%,-26.17%,0.00,0.08%,-38.76%
209,squat thrust step back,List A,1586,7,3.90%,71.43%,85.71%,1,0.42857143,96.35%,77,13.55%,-35.78%,0.00,-0.29%,-46.58%
210,standing good morning hands on head,List A,1073,19,5.85%,52.63%,68.42%,1,0.89473684,99.39%,276,82.56%,1.96%,2.00,-0.39%,-0.54%
211,supinated row alternating with resting arm down,List A,1647,5,65.00%,60.00%,60.00%,0,1,99.89%,56,84.76%,-3.08%,0.00,-0.11%,1.22%
212,supinated row alternating with resting arm up,List A,1648,5,4.35%,40.00%,100.00%,1,-0.2,99.90%,68,86.42%,1.56%,0.00,0.00%,-4.52%
213,supinated row both arms,List A,1649,8,1.14%,87.50%,100.00%,1,0.125,100.00%,87,81.41%,1.14%,0.00,0.00%,-2.26%
214,supinated row on knees same time,List A,1650,5,30.00%,60.00%,60.00%,0,2.6,100.00%,54,79.83%,-3.25%,0.00,0.00%,-2.05%
215,supinated row single arm,List A,1651,10,3.11%,80.00%,90.00%,1,0.3,99.89%,90,74.85%,-6.16%,0.00,0.00%,23.38%
216,tall kneeling good morning hands on hips,List A,1074,17,0.00%,100.00%,100.00%,1,0,98.22%,166,93.18%,0.00%,1.00,-0.21%,3.00%
217,tall kneeling good morning with dumbbell,List A,1075,17,3.53%,94.12%,94.12%,1,-0.3529412,99.19%,169,90.80%,0.20%,2.00,-0.12%,5.02%
218,tall kneeling good mornings hands behind head,List A,1484,3,7.54%,33.33%,66.67%,1,1,100.00%,40,13.00%,7.54%,0.00,0.00%,12.37%
219,tricep kickback kneeling alternating with resting arm down,MVP,1261,15,7.81%,60.00%,80.00%,1,-0.5333333,99.06%,166,70.84%,-0.27%,0.00,-0.22%,1.75%
220,tricep kickback kneeling alternating with resting arm up,List A,1262,11,21.82%,9.09%,45.45%,0,-2,99.59%,110,49.18%,3.36%,-2.00,-0.10%,-0.99%
221,tricep kickback kneeling both arms,MVP,1260,17,2.25%,82.35%,94.12%,1,0,97.65%,170,71.54%,-0.64%,0.00,-0.12%,-0.05%
222,tricep kickback standing alternating with resting arm down,MVP,1270,12,10.09%,58.33%,75.00%,0,-1,100.00%,118,84.19%,-3.43%,0.00,0.00%,0.63%
223,tricep kickback standing alternating with resting arm up,List A,1269,10,15.25%,20.00%,70.00%,0,-1.1,100.00%,99,77.59%,-3.00%,0.00,0.00%,-0.61%
224,tricep kickback standing both arms,MVP,1267,15,2.64%,80.00%,93.33%,1,0.13333333,99.90%,170,83.11%,-4.73%,-3.00,0.23%,6.84%
225,tricep kickback standing single arm with resting arm down,MVP,1268,20,7.46%,65.00%,85.00%,1,0.1,99.85%,393,82.38%,-0.50%,0.00,0.04%,0.32%
226,tuck jump consecutive,List A,1076,17,49.52%,0.00%,17.65%,0,-10.058824,91.86%,360,29.00%,16.11%,0.00,0.23%,-10.50%
227,tuck jump with pause,List A,1077,17,17.54%,17.65%,70.59%,0,-1.8235294,88.84%,192,38.40%,1.27%,2.00,1.66%,-12.87%
228,tuck up arms overhead,MVP,1124,18,15.16%,50.00%,77.78%,0,-0.5,82.06%,160,85.75%,1.31%,0.00,-0.08%,0.26%
229,tuck up assisted,MVP,1730,11,2.34%,72.73%,100.00%,1,-0.2727273,97.89%,121,87.45%,0.00%,0.00,-0.04%,6.26%
230,tuck up both legs arms by side,MVP,1123,5,0.00%,100.00%,100.00%,1,0,99.26%,51,87.48%,-2.00%,0.00,0.00%,5.29%
231,tuck up hands grab feet,MVP,1126,16,2.29%,81.25%,93.75%,1,0,94.26%,149,89.82%,0.15%,2.00,-0.07%,-2.54%
232,tuck up hands grab knees,MVP,1125,19,6.13%,57.89%,94.74%,1,0.31578947,96.52%,174,81.77%,2.33%,2.00,-0.29%,-4.76%
233,turkish getup alternating,List A,1127,10,1.11%,90.00%,100.00%,1,-0.1,99.11%,52,47.19%,,,,
234,turkish getup same side,List A,1128,12,6.67%,75.00%,91.67%,1,0,95.28%,76,59.63%,,,,
235,v up arms by side,MVP,1129,14,2.08%,78.57%,100.00%,1,-0.0714286,96.66%,138,75.59%,1.24%,2.00,-0.65%,-10.33%
236,v up arms overhead,MVP,1130,20,4.87%,75.00%,90.00%,1,0.1,95.72%,182,77.30%,-3.02%,4.00,0.06%,-1.84%
237,v up assisted,MVP,1131,15,4.95%,66.67%,86.67%,1,0.2,99.22%,153,61.31%,-0.19%,0.00,0.03%,-18.33%
238,wide grip bent over row alternating with resting arm down,MVP,1721,6,10.91%,50.00%,66.67%,0,0.33333333,96.09%,76,81.59%,0.79%,0.00,0.02%,11.13%
239,wide grip bent over row alternating with resting arm up,List A,1718,8,8.66%,25.00%,75.00%,1,-1.25,99.94%,118,56.76%,-2.08%,0.00,0.00%,8.07%
240,wide grip bent over row both arms,MVP,1719,6,0.00%,100.00%,100.00%,1,0,100.00%,67,97.58%,0.00%,0.00,0.00%,1.70%
241,wide grip chest press hook lying both arms,MVP,1523,4,2.08%,75.00%,100.00%,1,0.25,99.91%,51,86.04%,0.00%,0.00,-0.09%,-4.89%
242,wide grip chest press table top both arms,MVP,1527,4,12.02%,25.00%,50.00%,0,1.5,100.00%,50,61.00%,1.76%,0.00,0.10%,9.72%
243,wood chop kneeling alternating,MVP,1136,10,1.00%,90.00%,100.00%,1,0.1,99.04%,144,98.61%,-1.00%,0.00,-0.25%,-0.28%
244,wood chop kneeling single side,MVP,1133,5,1.05%,80.00%,100.00%,1,0.2,99.94%,100,98.49%,0.00%,0.00,0.26%,-0.24%
245,wood chop one knee,MVP,1140,12,6.40%,50.00%,83.33%,1,-0.3333333,96.90%,243,97.29%,-1.80%,1.00,0.27%,-0.91%
246,wood chop sitting alternating,MVP,1135,11,8.56%,63.64%,81.82%,1,0.36363636,99.96%,144,97.74%,-0.86%,1.00,0.00%,-0.83%
247,wood chop sitting single side,MVP,1134,5,2.22%,80.00%,80.00%,1,0.4,100.00%,99,97.52%,-0.56%,1.00,0.00%,-0.76%
248,wood chop standing alternating,MVP,1137,10,2.94%,70.00%,90.00%,1,0,99.94%,134,98.54%,0.00%,0.00,0.00%,-0.32%
249,wood chop standing single side,MVP,1315,9,1.20%,77.78%,100.00%,1,0,99.52%,154,98.72%,0.00%,0.00,-0.01%,-0.32%
250,zottman curl balancing alternating with resting arm down,MVP,1291,8,0.00%,100.00%,100.00%,1,0,97.49%,82,97.29%,0.00%,0.00,0.04%,-1.18%
251,zottman curl kneeling both arms,MVP,1279,13,1.62%,84.62%,100.00%,1,0.15384615,99.20%,131,97.28%,-1.28%,0.00,0.22%,3.69%
252,zottman curl standing alternating with resting arm down,MVP,1287,8,0.00%,100.00%,100.00%,1,0,98.51%,77,97.52%,0.00%,0.00,0.10%,-0.11%
253,zottman curl standing alternating with resting arm up,List A,1281,8,14.38%,0.00%,75.00%,0,1.375,99.96%,78,97.93%,-3.75%,0.00,0.07%,-0.46%
254,zottman curl standing both arms,MVP,1282,12,5.83%,83.33%,83.33%,1,-0.5833333,97.22%,110,99.03%,0.00%,0.00,-0.06%,-0.33%
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
All,Average,,,11.99,6.49%,67.09%,87.23%,0.78,-0.12,97.18%,,84.62%,-0.64%,,0.02%,-0.48%
,Sum,255,,3057,,,,,,,,,,70.00,,
,,,,,,,,,,,,,,,,
MVP,Average,,,11.81,4.65%,71.87%,90.83%,0.88,-0.08,97.00%,,88.12%,-0.35%,,0.03%,-0.41%
,Sum,181,,2138,,,,,,,,,,42.00,,
,,,,,,,,,,,,,,,,
List A,Average,,,12.42,10.98%,55.40%,78.42%,0.55,-0.22,97.63%,,76.08%,-1.38%,,-0.01%,-0.66%
,Sum,74,,919,,,,,,,,,,28.00,,
